instance,heuristic,best_cost,avg_cost,avg_initial_cost,avg_time,runs,best_solution
kroA100,nearest_neighbor,21919,21919.0,27807.0,3.12857723236084,5,"[91, 0, 46, 92, 27, 66, 57, 60, 24, 80, 68, 63, 39, 53, 1, 43, 49, 72, 67, 84, 38, 81, 94, 12, 75, 32, 36, 4, 51, 77, 95, 29, 47, 99, 40, 70, 13, 2, 42, 45, 28, 33, 82, 54, 6, 8, 86, 50, 56, 19, 11, 26, 85, 34, 61, 59, 76, 22, 97, 90, 44, 31, 10, 14, 16, 58, 73, 20, 71, 83, 9, 89, 48, 5, 62, 74, 18, 52, 78, 17, 23, 37, 35, 98, 93, 87, 15, 21, 69, 65, 25, 64, 3, 96, 55, 79, 30, 88, 41, 7]"
kroA100,cheapest_insertion,24219,24219.0,25230.0,0.9551002979278564,5,"[43, 49, 81, 94, 12, 75, 32, 36, 4, 38, 95, 77, 51, 47, 99, 40, 70, 13, 2, 42, 45, 28, 29, 84, 67, 72, 68, 80, 24, 8, 6, 33, 82, 54, 11, 26, 85, 34, 61, 59, 22, 44, 14, 16, 10, 31, 46, 90, 97, 76, 19, 56, 86, 50, 60, 57, 27, 92, 0, 62, 5, 48, 89, 78, 83, 9, 71, 20, 73, 58, 35, 98, 37, 23, 17, 93, 21, 69, 15, 87, 52, 18, 65, 25, 64, 3, 96, 55, 74, 91, 7, 41, 79, 30, 88, 66, 63, 39, 53, 1]"
